exception_id,customer_id,exception_type,exception_date,old_value,new_value,change_frequency_90d,verified_by_bank,days_before_first_suspicious_txn
EXC-55,CUST-38109,4,2026-02-22,"451 Werner Junction Suite 847
New Carolineton, NH 94406","003 Reed Valley
Lake Christineberg, PR 37952",3,0,54
EXC-56,CUST-49125,0,2026-02-20,"4260 Thomas Mill Suite 594
North Reneeberg, KY 92700","PSC 7028, Box 7296
APO AE 90331",1,0,3
EXC-57,CUST-45910,4,2026-02-08,"3590 Watts Crest
East Adam, DC 55206","67075 Richardson Path Apt. 913
West Gabrielberg, PW 35995",3,0,14
EXC-58,CUST-21289,3,2026-03-22,"489 Sarah Fork Suite 400
West Karen, NJ 89605","67223 Andrews Turnpike
Port Deborahstad, KS 74490",5,1,39
EXC-59,CUST-16763,1,2026-01-14,"866 Thomas Burg
North Aliciachester, OH 71387","568 Molina Passage
West Anthony, LA 45401",3,1,27
EXC-60,CUST-44885,2,2026-02-08,"104 Alexander Walks Suite 209
Lake Stephanie, OK 66144","9747 Beltran Hills Apt. 722
New Michaelton, MN 61334",3,0,24
EXC-61,CUST-10894,3,2026-03-19,"666 Zimmerman Ports
East Robertside, CO 75235","173 Sparks Mills
Conradmouth, NV 65582",2,0,52
EXC-62,CUST-14174,2,2026-01-10,"51262 Kelly Station Suite 583
Liuland, UT 87060","83643 Stefanie Roads Suite 448
Alexandrabury, GA 09902",5,0,25
EXC-63,CUST-11457,4,2026-03-05,"87680 Brian Row
Lake Davidstad, DE 51567","823 Harrell Shores Apt. 776
South Tammy, UT 81250",4,0,14
EXC-64,CUST-26092,1,2026-03-05,"005 Soto Port
West Barbaraport, OH 40640","6464 Frederick Divide Apt. 996
Pricehaven, MD 45821",3,0,40
EXC-65,CUST-8074,4,2026-01-01,"710 Wilkins Squares
Bushberg, PR 90954","95914 Marquez Unions
Johnfurt, TN 14540",5,0,55
EXC-66,CUST-41171,4,2026-03-21,"72358 Brandi Corner Suite 971
South David, NE 54454","27001 Lawrence Course
Lake Lance, DC 54235",3,1,45
EXC-67,CUST-30264,2,2026-01-13,"8816 Norman Inlet
Jenniferstad, TX 30517","718 John Bridge
Port Bradleyborough, NY 85212",3,1,10
EXC-68,CUST-23910,4,2026-02-21,"53493 Farmer River
Colefort, WA 85590","23113 Dominique Locks Suite 879
Russellfort, AR 39220",5,1,54
EXC-69,CUST-49179,3,2026-01-06,"000 Best Prairie
Richardborough, SD 75480","89887 Megan Harbors Suite 599
East Jimmychester, WI 70975",1,0,35
EXC-70,CUST-32621,4,2026-03-24,"355 Kristin Cliff
Johnsonfort, CO 76139","26522 Rodriguez Island
Jaystad, MO 52144",5,0,50
EXC-71,CUST-24057,0,2026-01-15,"1939 Morrow Ferry
East Davidfurt, WI 21043","366 Alyssa Well Suite 483
East Jeremy, KS 04364",5,1,57
EXC-72,CUST-22979,0,2026-02-09,"Unit 4508 Box 8152
DPO AA 25077","USNV Smith
FPO AE 76820",1,1,36
EXC-73,CUST-46911,1,2026-03-14,"6565 King Mountain
New Michaelville, IA 09880","1938 Webb Prairie Suite 220
New Jacob, NJ 23646",2,0,36
EXC-74,CUST-46837,1,2026-01-08,"987 Beth Shore Suite 001
South John, VI 19695","566 Gamble Greens Suite 826
Davidside, WV 70075",5,0,25
EXC-75,CUST-18954,1,2026-03-02,"70475 Christopher Run
Sherriberg, IA 82555","675 Robin Lights Apt. 211
East Kristen, VA 09205",1,1,30
EXC-76,CUST-40220,1,2026-02-10,"PSC 2069, Box 1189
APO AA 98482","933 Garrett Curve Suite 322
East Danielle, ND 17881",4,1,13
EXC-77,CUST-24811,0,2026-02-20,"01395 Wood Club
Davidsontown, NM 79420","44161 Byrd Loaf Suite 981
Whiteheadberg, NC 20697",5,0,3
EXC-78,CUST-22763,0,2026-02-12,"PSC 8353, Box 3810
APO AP 71264","328 Megan Route
Wellsfort, UT 49640",1,1,9
EXC-79,CUST-33330,3,2026-03-11,"519 Andre Shore Suite 004
Bryanport, VT 60531","386 Johnson Flats Suite 996
Michaelfurt, MO 93043",5,0,13
EXC-80,CUST-13161,4,2026-03-04,"225 Andrews Pine
Maldonadotown, DC 26399","66651 Patrick Rapids
Walkerview, MT 32016",4,1,3
EXC-81,CUST-36856,1,2026-03-24,"7498 James Junction Suite 173
North Robertport, ND 27894","829 Gail Lock
East Mary, RI 56381",2,0,41
EXC-82,CUST-32608,4,2026-01-01,"443 James Locks
West Laurie, ID 57293","453 Jeffrey Rapids
Port Kelly, SD 49529",4,1,10
EXC-83,CUST-15558,1,2026-03-21,"55353 Phillip Creek Suite 777
Martinezside, GU 40556","041 Smith Harbor
Adamston, NE 26995",4,0,36
EXC-84,CUST-33647,4,2026-03-07,"733 Samantha Square Apt. 123
South Nicholas, MA 33801","PSC 1251, Box 6055
APO AE 64405",3,1,13
EXC-85,CUST-9509,3,2026-03-15,"Unit 1331 Box 0272
DPO AA 61187","7620 Ashley Street Apt. 914
Mendezville, CT 49782",4,1,55
EXC-86,CUST-31156,0,2026-01-10,"338 Douglas Gateway
East Meganburgh, WY 93131","706 Weaver Pass
Sandraport, SC 74405",4,1,53
EXC-87,CUST-15633,1,2026-01-12,"550 Steven Path
Christopherberg, FL 02313","499 Chandler Forest
West Carolton, WA 44200",3,1,6
EXC-88,CUST-393,0,2026-01-07,"74482 Mia Harbors Apt. 501
Port Christopherburgh, ME 10410","82717 Holden Isle
Kingport, IA 75335",4,0,10
EXC-89,CUST-10703,2,2026-03-27,"PSC 4617, Box 4551
APO AE 14351","80640 Rowe Grove
North Paula, WI 34781",4,1,59
EXC-90,CUST-38448,0,2026-02-18,"5263 Madison Isle Suite 426
Acostabury, NY 46071","10815 Linda Way Apt. 525
Taraborough, CA 65941",4,1,10
EXC-91,CUST-41809,4,2026-02-24,"709 Louis Grove Apt. 899
Lake Adrianberg, CT 88346","USNS Holmes
FPO AA 53504",1,1,23
EXC-92,CUST-720,2,2026-01-01,"082 Burnett Light Apt. 011
Maryfort, PA 33296","1008 Mcpherson Causeway Suite 561
Port Josephberg, MO 69072",3,0,2
EXC-93,CUST-25593,1,2026-03-05,"4680 Smith Vista Suite 793
New Lauren, MN 17524","7780 Matthew Ranch Apt. 915
Howellberg, LA 73836",1,1,3
EXC-94,CUST-42674,3,2026-03-10,"31983 Howard Street Suite 021
East Angela, IL 58790","151 Cox Valleys
Port Jeffreyville, NC 90390",3,1,39
EXC-95,CUST-15931,3,2026-01-07,"1072 Corey Cliffs Apt. 631
Nicolefurt, WV 18069","33055 Payne Path Apt. 052
Carlostown, NJ 15768",2,1,50
EXC-96,CUST-41026,3,2026-02-16,"4612 Stephen Union
North Granttown, WV 64075","242 Brandon Manor
New Evan, NY 63373",1,0,31
EXC-97,CUST-33803,4,2026-01-24,"5477 Grant Throughway Apt. 423
New David, AK 00805","7570 Bradley Plain Apt. 409
South Julie, AS 72061",3,1,4
EXC-98,CUST-11328,1,2026-02-11,"78468 Stephanie Turnpike
Clarkmouth, MI 76546","850 Thomas View
Turnerton, OR 40045",4,0,15
EXC-99,CUST-35532,0,2026-03-18,"8512 Contreras Point
New Jasmine, CO 23647","7190 Ashley Port
Shahport, MN 35269",2,1,58
EXC-100,CUST-36459,2,2026-02-19,"037 Hoffman Ford
Turnerton, PR 84543","418 Paul Ways Suite 485
Michelleland, VA 32063",3,0,39
EXC-101,CUST-15713,4,2026-01-15,"572 Justin Centers Suite 178
Sarahton, MH 48420","3135 Phelps Ridges Apt. 441
Lisastad, GU 27765",2,1,19
EXC-102,CUST-8341,2,2026-01-27,"618 Young Dam Apt. 898
Reyeshaven, MI 87229","51081 Kim Park Apt. 588
New William, DE 95805",3,0,51
EXC-103,CUST-3675,4,2026-03-25,"72647 Samantha Cape
New Shannonview, IN 47441","PSC 5005, Box 0187
APO AE 13683",5,0,23
EXC-104,CUST-28331,1,2026-01-19,"9723 Alvarado Villages
Millerfort, MN 68469","13100 Scott Passage
Gibsonville, HI 12468",4,1,43
EXC-105,CUST-36155,0,2026-03-03,"9092 Woods Stream Suite 142
Lake Michaelstad, LA 62622","Unit 6721 Box 1305
DPO AA 59955",5,1,52
EXC-106,CUST-9136,0,2026-03-11,"9203 Smith Plaza
Brookeberg, AS 85359","813 Jay Road Suite 427
Francishaven, OK 40510",1,1,5
EXC-107,CUST-33439,3,2026-01-13,"0497 Amanda Viaduct
Youngchester, AR 71968","18998 Adams Spur Suite 674
New Cindytown, VA 66578",3,1,32
EXC-108,CUST-29929,4,2026-02-10,"601 Griffith Walk
Cherylburgh, GA 57668","523 Annette Village
New Kimberlyburgh, SC 93616",5,0,32
EXC-109,CUST-5843,4,2026-02-17,"0017 Cynthia Road Apt. 105
Port Elizabeth, SC 91741","0238 Butler Extension Apt. 804
South Amanda, MP 01968",3,1,33
EXC-110,CUST-9807,2,2026-03-27,"9446 Erica Circles Apt. 948
Wilkinsonberg, MA 67847","330 Fisher Crossroad Apt. 792
East Courtneyhaven, PA 99168",4,0,34
EXC-111,CUST-29120,2,2026-01-17,"5865 Michael Road
Hortonhaven, GU 76831","64551 James Mill
Randyside, RI 40721",3,0,47
EXC-112,CUST-12157,4,2026-01-17,"60378 Randy Valley Suite 378
Spencerbury, PR 38463","597 Vanessa Shores Apt. 216
Lake Elizabeth, OH 99062",4,0,9
EXC-113,CUST-48504,1,2026-01-02,"49542 Willie Manors Apt. 333
South Andrewfort, FM 99225","7551 Kevin Spur Apt. 619
North Jack, PA 61537",1,1,37
EXC-114,CUST-45356,2,2026-02-27,"9871 Joyce Villages
Martinstad, GU 84894","55721 Shelton Unions Apt. 998
Grayborough, MT 13057",1,0,26
EXC-115,CUST-1804,1,2026-02-19,"4149 Adam Shoals
Lake Dawntown, CA 40809","8418 Eric Turnpike
Bensonshire, NE 89395",3,1,33
EXC-116,CUST-38397,4,2026-03-05,"9864 Frederick Prairie Apt. 628
Rojasshire, IN 87127","031 Simon Course
Rittertown, NH 86327",4,1,50
EXC-117,CUST-13204,4,2026-01-30,"939 Matthew Falls
Lake Stephen, NE 14360","166 Leah Overpass Apt. 787
North Curtis, IL 35893",5,1,12
EXC-118,CUST-23503,2,2026-01-02,"0598 Greg Burg Apt. 024
South Andreaberg, NE 62557","81765 Jason Row Apt. 658
Colonland, AK 95254",3,1,37
EXC-119,CUST-44854,4,2026-03-05,"198 Richards Springs
West Andrew, KY 46340","803 Lisa Brooks
Port Kathrynhaven, PW 34345",3,0,49
EXC-120,CUST-17406,1,2026-03-27,"7652 Davenport Club Apt. 120
Lake Rebecca, MP 38827","Unit 7850 Box 0182
DPO AE 50162",1,0,17
EXC-121,CUST-49747,0,2026-01-25,"577 Daniel Shore Apt. 101
Brittanyville, TX 78142","7653 Dillon Tunnel Suite 009
Phillipbury, NE 34204",2,0,34
EXC-122,CUST-25862,0,2026-02-01,"279 Leslie Road
Duncanville, KY 74079","578 Buckley Ridge Apt. 177
Alexandermouth, VI 98164",3,0,17
EXC-123,CUST-16556,3,2026-03-17,"5077 Nguyen Mills
Matthewport, VT 35443","25929 Fowler Oval
Kellyhaven, SC 64416",4,1,24
EXC-124,CUST-46673,2,2026-03-05,"56837 Charles Mission
Joanport, MS 49082","244 Sullivan Union Suite 034
Lake Jimmyhaven, VI 50045",3,0,28
EXC-125,CUST-10499,1,2026-01-27,"6081 Tristan Meadows Suite 387
Keithtown, MO 46567","8939 Gordon Street
Lisatown, FM 49468",4,0,11
EXC-126,CUST-7232,0,2026-02-21,"07856 Clarke Isle
New Susan, MO 51176","7157 Christine Springs Suite 900
New Kyliefurt, ME 07603",5,0,45
EXC-127,CUST-35142,0,2026-03-10,"56781 Cheryl Course Suite 162
Smithtown, OR 86552","2430 Nicole Valley
Petersonbury, MH 70032",5,0,51
EXC-128,CUST-14258,0,2026-02-25,"6772 Mcgrath Common Suite 205
Butlermouth, RI 03292","373 Gross Parks Apt. 101
Russellmouth, FL 37197",1,1,30
EXC-129,CUST-8086,0,2026-03-10,"79817 Jade Mission
Port Tiffany, TX 24521","4178 Young Plains Apt. 575
Cherylstad, WV 29474",2,1,16
EXC-130,CUST-44278,0,2026-01-07,"749 Thompson Road Suite 071
Nancyfort, DC 43761","87584 Cardenas Fork
Lake Ashley, WY 42823",1,0,15
EXC-131,CUST-13856,2,2026-02-04,"204 Joyce Grove Suite 285
Juliestad, IN 47737","38602 Wilson Ports Suite 072
Brianmouth, FL 33558",2,0,18
EXC-132,CUST-3572,1,2026-01-31,"72128 Andrew Plaza
Michaelton, CA 41357","948 Leslie Village
South Nicholasport, KY 18562",3,1,7
EXC-133,CUST-40718,0,2026-01-05,"USCGC Duncan
FPO AA 03104","600 John Springs Suite 913
North Jennifer, FM 16944",1,0,10
EXC-134,CUST-41594,0,2026-01-02,"29097 Rivera Spur
Cynthiahaven, AK 15388","02265 Andrew Pines Suite 968
Davismouth, KS 45459",5,1,53
EXC-135,CUST-16916,2,2026-02-11,"24974 Michael Road
Hamiltonbury, PR 05876","2088 Christian Alley
Rodneyland, MO 81873",5,0,58
EXC-136,CUST-5167,2,2026-02-04,"397 Stanley Groves
Nguyenview, HI 37946","149 Ann Street Suite 201
Hollyshire, VI 88558",2,1,19
EXC-137,CUST-42230,4,2026-03-15,"38888 Claudia Villages
Meganland, AZ 06490","3146 Rebecca Freeway
Ellisside, NY 35890",1,0,14
EXC-138,CUST-22836,4,2026-01-22,"46549 Williams Station
South Rita, KS 96024","2934 Manning Trail
North Jacobland, ID 24593",2,0,59
EXC-139,CUST-5016,2,2026-02-11,"730 Roberts Ferry Suite 600
Lake Jared, MH 60710","2280 Jacob Divide Suite 441
East Danielleborough, AK 98057",2,1,23
EXC-140,CUST-40139,1,2026-02-23,"PSC 8889, Box 8604
APO AE 21263","24607 Rhonda Shoals
Elijahbury, MH 85590",2,0,24
EXC-141,CUST-10942,0,2026-02-09,"666 Edwards Pines Apt. 049
Lake Rachel, MD 57419","0727 Sims Glens
Sanderschester, FL 95269",4,0,42
EXC-142,CUST-18195,1,2026-02-08,"Unit 4163 Box 3248
DPO AP 63813","204 Mitchell Drive
New Brandon, CO 69369",3,0,39
EXC-143,CUST-44667,1,2026-03-22,"59622 Sean Crossing
Shannonhaven, GA 43556","15514 Williams Park Apt. 076
South Laurenton, UT 79752",4,0,8
EXC-144,CUST-12081,4,2026-01-04,"4071 Peterson Islands
South Joshua, OR 84812","03422 Mary Well Suite 987
Keithstad, NE 64107",4,1,6
EXC-145,CUST-44839,1,2026-01-20,"49362 Alexis Light Apt. 222
North Davidberg, GA 52372","762 Boyd Estates
North Aaronview, MO 91388",2,0,60
EXC-146,CUST-46696,3,2026-02-27,"97942 Jeffrey Cliff
Davidville, MH 20652","1052 Lisa Road Apt. 204
South Bruceville, NV 39376",2,1,36
EXC-147,CUST-46451,2,2026-02-22,"653 Jordan Tunnel
Susanland, NV 96852","249 Becky Corner
Velasquezshire, IN 28657",4,1,9
EXC-148,CUST-43112,0,2026-03-06,"USNS Parks
FPO AP 14540","0938 Lisa Corners
East Anthony, SC 77637",5,0,24
EXC-149,CUST-27147,1,2026-01-29,"2601 Fuller Streets Suite 680
Lisaland, VI 42092","586 Rodriguez Springs Suite 440
North Perrybury, CO 14346",3,0,17
EXC-150,CUST-35551,2,2026-01-29,"95545 Alexander Union
Knappborough, TN 47207","552 Bush Valley
South Jamesport, SC 25915",2,0,33
EXC-151,CUST-3140,4,2026-02-26,"06697 Kristy Shores
Lake Antonioberg, IA 29314","25933 Gabriel Knoll
Sullivanton, PW 03277",4,0,57
EXC-152,CUST-27562,2,2026-03-25,"94357 Anderson Squares
East Virginia, DC 29282","25800 Jonathan Islands
Tiffanybury, ME 75893",4,1,29
EXC-153,CUST-12777,4,2026-03-08,"01049 Cantrell Oval Suite 381
Port Michellehaven, WA 38491","6214 Jones Via Suite 399
Williamtown, NH 97086",5,1,21
EXC-154,CUST-49999,1,2026-03-06,"4200 Irwin Branch Suite 900
New Courtneymouth, FM 78449","193 Dunn Lodge Apt. 007
Lake Danielbury, MH 14608",5,1,16
EXC-155,CUST-11332,3,2026-01-28,"4001 Martinez Highway Suite 016
Onealchester, IN 05163","89141 Carr Spring
Port George, NV 20333",4,0,5
EXC-156,CUST-34655,2,2026-03-19,"3715 Burke Valley Suite 931
Danielsside, PA 76889","0595 Benjamin Station Apt. 620
Edwardsstad, LA 78454",5,0,60
EXC-157,CUST-16076,1,2026-01-03,"741 Murphy Lodge Suite 509
Port Andrew, NY 24836","00966 David Plains Suite 754
East Ianborough, FM 56085",2,0,48
EXC-158,CUST-44220,3,2026-01-09,"3037 Kerr Roads
Michaelton, KS 29741","726 Lambert View Suite 645
Williamburgh, MP 11668",4,1,53
EXC-159,CUST-36847,0,2026-01-30,"7741 David Stream Apt. 424
Valdezville, AK 33084","491 Mays Islands Suite 465
Emilyhaven, ND 37768",2,0,22
EXC-160,CUST-4598,2,2026-02-17,"534 Albert Wells
East Jasmineville, TX 17399","99362 Smith Shores
Richardchester, WI 02924",2,1,2
EXC-161,CUST-10747,3,2026-03-19,"72780 Anderson Loaf Apt. 200
Rodriguezland, MN 68052","4199 Douglas Loaf
Lewisstad, CT 82645",2,1,58
EXC-162,CUST-8751,4,2026-01-02,"65260 Hernandez Street
Simpsonmouth, MP 32433","93300 Bowman Drive
Dixonstad, MS 49553",4,0,29
EXC-163,CUST-30889,2,2026-03-23,"728 Cook Meadow Apt. 850
Flemingshire, LA 54169","8032 Mitchell Knolls
Rivershaven, MO 18831",4,0,17
EXC-164,CUST-19779,4,2026-01-26,"814 Matthew Forks
Jonesstad, MH 15560","96523 Perkins Landing Apt. 262
New Brittany, MN 99521",1,1,27
EXC-165,CUST-10779,1,2026-01-22,"171 Jimenez Corner
Micheleborough, KY 42004","4435 Veronica Circles Apt. 212
Lake Alexandrabury, OR 55405",2,1,47
EXC-166,CUST-9146,1,2026-01-13,"6034 Moon Wells
Chloechester, CA 32068","7520 Julie Haven
Mckinneyborough, NY 84891",1,0,56
EXC-167,CUST-40599,4,2026-03-22,"8490 Harris Centers Apt. 215
South Sarahmouth, MS 10647","686 Weaver Tunnel Suite 617
Hebertberg, FM 83539",3,1,45
EXC-168,CUST-18575,4,2026-01-14,"4439 Christopher Lodge Suite 052
North Erinton, MA 65847","USS Torres
FPO AP 90352",3,1,25
EXC-169,CUST-42515,0,2026-03-27,"397 Mackenzie Tunnel Suite 693
New Shaunfurt, NY 86690","PSC 2416, Box 6473
APO AA 03979",3,0,31
EXC-170,CUST-17964,4,2026-01-19,"614 Justin Station
Susanfurt, MO 74723","17773 Carter Circles Apt. 939
Allenview, IL 21777",2,0,56
EXC-171,CUST-43361,2,2026-01-18,"0646 Olson Neck
Anaburgh, MP 88347","4561 Farmer Trail Suite 838
Julieview, SD 70864",5,1,15
EXC-172,CUST-16127,3,2026-01-18,"48765 Jeffrey Prairie
Brianfurt, GA 97881","75233 Reginald Passage Suite 915
Dennismouth, TX 63610",1,0,28
