customer_id,full_name,dob,occupation,kyc_monthly_income,account_open_date,last_txn_date_before_window,kyc_status,pep_flag,adverse_media_flag,current_address,current_city,current_state,nationality,mobile_number,num_linked_accounts,sar_flag
CUST-15,Jordan Wright,1994-12-24,business,10972,2021-11-01,2023-04-29,1,1,1,"99577 John Hollow Apt. 605
East Michael, WV 04341",Port Troy,New York,IN,+91-9XXXXXX403,5,0
CUST-16,Teresa Jordan,1975-06-16,business,127759,2023-09-28,2025-09-15,1,0,1,"093 Thomas Flats Suite 952
Andrewstad, WI 26051",South Briannastad,South Dakota,AE,+91-9XXXXXX276,2,0
CUST-17,Sharon Duarte,1988-10-24,business,189927,2024-10-04,2026-03-13,1,0,0,"3471 Amber Summit
West Rebecca, VA 42410",Nashport,West Virginia,IN,+91-9XXXXXX254,3,0
CUST-18,Tamara Price,2007-02-14,salaried,128926,2022-03-10,2024-07-06,0,0,0,"Unit 9070 Box 9714
DPO AA 21685",Mcneiltown,Mississippi,NG,+91-9XXXXXX170,2,0
CUST-19,Shawn Chung,1963-03-10,retired,28366,2024-05-02,2024-04-29,1,1,1,"446 Klein Center
West Mollybury, WV 74478",Richardmouth,Wyoming,IN,+91-9XXXXXX943,1,0
CUST-20,David Adams,1970-05-12,salaried,106367,2023-08-10,2023-11-23,1,1,0,"99460 Miller Village
South Kiara, NJ 76659",Lake Yolandaberg,Oklahoma,IN,+91-9XXXXXX203,2,0
CUST-21,Jennifer Le,1991-12-26,retired,137213,2022-01-26,2025-07-04,1,0,0,"91588 Timothy Inlet
Port Stacy, SD 87706",North Iantown,New York,IN,+91-9XXXXXX139,2,0
CUST-22,Judith Jackson,2001-05-16,student,33453,2021-12-12,2024-03-13,1,0,1,"27724 Wright Mews Suite 038
East Jeffreychester, DC 62963",Lindastad,Arkansas,US,+91-9XXXXXX546,2,1
CUST-23,Marilyn Scott,2002-11-28,student,130593,2022-04-24,2025-12-31,1,1,0,"3644 Crystal Camp
Lake Traceychester, WA 98221",Riceshire,Idaho,IN,+91-9XXXXXX898,2,0
CUST-24,Cathy Reid,1969-12-11,salaried,43314,2024-02-16,2024-11-12,1,0,0,"1300 Russell Burg Apt. 856
West Nataliehaven, NM 01623",Charlesport,Colorado,IN,+91-9XXXXXX228,5,0
CUST-25,Keith Chambers,1962-05-26,business,113954,2022-02-25,2023-05-21,1,1,1,"7076 Hanson Harbors Apt. 281
Nicoleville, AS 45925",West Richard,Alabama,IN,+91-9XXXXXX683,2,0
CUST-26,Timothy Park,1958-07-30,business,185100,2021-12-08,2024-04-20,2,1,0,"Unit 7210 Box 2976
DPO AE 27286",Hernandezport,Idaho,IN,+91-9XXXXXX129,4,0
CUST-27,Robert Clark,1981-03-09,business,184197,2024-03-12,2023-04-13,1,0,0,"533 Mark Villages
South Kimberly, DC 79431",Emilychester,Oklahoma,IN,+91-9XXXXXX991,5,0
CUST-28,Douglas Rodriguez,1965-12-31,student,18630,2024-08-13,2026-03-10,2,1,0,"88530 Clark Dam
East Jessica, WV 19994",North Steven,Arizona,AE,+91-9XXXXXX830,3,0
CUST-29,Stephen Edwards,1960-07-15,salaried,24567,2024-11-15,2023-11-26,0,0,0,"4527 William Greens
Lake Veronicaberg, NV 42431",South Curtisborough,Tennessee,AE,+91-9XXXXXX177,1,0
CUST-30,Patrick Lee,1975-08-15,salaried,173721,2024-01-17,2024-04-30,1,1,1,"USS Rice
FPO AP 86480",Jillborough,Arkansas,PK,+91-9XXXXXX270,2,0
CUST-31,Kelly Alvarado,1961-11-18,student,91962,2021-04-09,2025-05-09,1,1,0,"0234 Lee Light
Watersville, KS 39464",New Seanmouth,Illinois,AE,+91-9XXXXXX816,1,0
CUST-32,Olivia Perkins,1959-08-24,salaried,27502,2024-02-23,2025-08-03,1,1,0,"5787 Paula Way Suite 280
Nicholasland, TN 22890",Smithchester,Montana,IN,+91-9XXXXXX458,2,0
CUST-33,William Parker,2000-07-12,student,101355,2023-05-04,2026-03-17,1,1,1,"860 Jonathan Terrace Apt. 951
North Christian, WY 38222",Christineview,Vermont,IN,+91-9XXXXXX361,5,0
CUST-34,James Burns,1973-12-18,salaried,185499,2022-10-14,2023-04-02,1,1,1,"61175 King Villages
Port Diamond, UT 99770",Brittanyhaven,Alabama,GB,+91-9XXXXXX148,2,0
CUST-35,Angel Peck,1986-08-11,business,173838,2021-05-11,2024-02-24,0,0,1,"5109 Denise Row Suite 652
Villegasbury, AL 04264",Whitneyfurt,New Mexico,IN,+91-9XXXXXX112,3,0
CUST-36,Casey Henderson,1987-01-07,salaried,182811,2024-02-28,2023-12-28,0,0,1,"071 Perez Lodge Suite 193
East Charleschester, PW 26129",East Anthonyview,Oklahoma,IN,+91-9XXXXXX273,5,0
CUST-37,Diane Harris,1981-09-27,self_employed,106603,2021-10-22,2023-11-28,3,0,0,"73054 Todd Terrace
South Barbara, VA 02556",South Jose,Florida,IN,+91-9XXXXXX728,4,0
CUST-38,Alexander Hickman,1978-06-29,retired,161680,2022-07-17,2023-04-07,1,0,1,"354 Wells Bridge Suite 809
Jasonstad, NE 28694",Gallagherfort,Tennessee,IN,+91-9XXXXXX272,4,0
CUST-39,Brian Davila,1969-11-10,retired,161762,2024-01-11,2024-04-05,3,1,0,"31236 Tyler Stravenue Suite 812
New Michaeltown, IA 24166",North Jacobside,Florida,IN,+91-9XXXXXX949,3,0
CUST-40,Mary Beck,1966-10-24,retired,49782,2024-03-21,2023-06-25,2,1,0,"7126 Wilcox Motorway Suite 642
Millerborough, NE 72785",Aprilport,Nebraska,IN,+91-9XXXXXX683,3,0
CUST-41,Jenny Small,1973-05-14,retired,197001,2021-09-01,2023-05-11,1,1,1,"0615 James Fork Suite 379
Paulmouth, ND 41041",Fischerside,Colorado,IN,+91-9XXXXXX755,2,0
CUST-42,Kirk Bowen,1955-11-16,student,170732,2025-01-02,2024-12-04,1,0,0,"3883 Austin Isle
Tylermouth, MT 54202",East Michael,Kansas,IN,+91-9XXXXXX192,5,0
CUST-43,Kelly Smith,1959-06-11,self_employed,65517,2023-03-25,2024-03-02,1,1,1,"382 Jones Run
South Michelle, LA 69397",Noahmouth,Nebraska,HK,+91-9XXXXXX907,1,1
CUST-44,Michael Collins,1961-07-08,self_employed,157829,2025-01-28,2024-02-20,2,1,0,"739 Kelly Corner Suite 673
Jamesport, GU 76915",Samuelland,Pennsylvania,AE,+91-9XXXXXX222,1,1
CUST-45,Douglas Mora,1984-03-10,salaried,83559,2023-11-05,2023-06-04,1,0,1,"2999 Samantha Oval
North Brittanyside, MD 39877",Robertstad,Arkansas,IN,+91-9XXXXXX648,5,1
CUST-46,Michael Johnson,1963-05-13,salaried,138228,2024-08-26,2025-04-13,1,0,0,"6407 Scott Path
East Davidville, GA 91551",Conleyburgh,Virginia,IN,+91-9XXXXXX260,2,0
CUST-47,Lindsay Hernandez,1999-12-02,student,105148,2023-12-09,2023-09-28,1,1,0,"3116 Tammy Club Apt. 691
Williamston, OK 84318",Michaelside,Utah,IN,+91-9XXXXXX567,2,0
CUST-48,Jason Jones Jr.,1984-03-15,salaried,151034,2025-03-02,2024-11-08,0,0,1,"USS Anderson
FPO AP 72633",Amberview,Illinois,IN,+91-9XXXXXX929,5,0
CUST-49,Isaac Perez,2007-01-21,student,64144,2021-05-26,2023-10-14,2,0,1,"602 Diaz Bridge
Stoutmouth, SC 01590",West Christopherberg,Illinois,IN,+91-9XXXXXX305,2,0
CUST-50,Joshua Jimenez,1964-10-07,self_employed,132056,2024-11-28,2024-12-08,1,0,1,"329 Richard Divide
Morganhaven, CA 52262",South Dawnhaven,South Carolina,IN,+91-9XXXXXX381,3,1
CUST-51,Samuel Calhoun,1978-11-15,student,35457,2025-03-22,2025-08-30,1,0,0,"382 Jacob River
Lake Jessica, NC 01665",West John,Pennsylvania,AE,+91-9XXXXXX794,3,0
CUST-52,Ashley Wilson,1986-09-24,salaried,144585,2024-01-30,2025-10-09,0,1,1,"PSC 4223, Box 1391
APO AP 64494",Derekshire,Maine,SG,+91-9XXXXXX399,2,0
CUST-53,Kristina Jones,1980-03-04,salaried,199273,2023-08-10,2023-04-03,0,0,1,"401 Melissa Camp
North Ann, MH 50065",Hoffmanberg,North Dakota,IN,+91-9XXXXXX321,3,1
CUST-54,Jacqueline Carter,1992-11-13,salaried,46802,2022-12-02,2025-06-25,1,0,0,"794 Smith Mall
Cherylbury, MS 77612",North Saraville,Missouri,IN,+91-9XXXXXX886,1,0
CUST-55,Dr. Jeffery Simpson,1959-02-25,unemployed,109168,2024-11-16,2025-05-20,2,1,1,"USNS Young
FPO AE 01972",South Josephport,Mississippi,IN,+91-9XXXXXX303,3,0
CUST-56,Kaitlin Banks,2005-09-23,self_employed,80835,2021-09-25,2024-11-28,1,0,0,"436 Patterson Alley
Davidstad, MO 73153",Powelltown,Iowa,NG,+91-9XXXXXX927,4,0
CUST-57,Cynthia Thompson,1981-11-17,student,54150,2024-11-18,2025-10-20,1,1,1,"84378 Alicia Divide
Gutierrezberg, TX 90354",Barryton,Kentucky,NG,+91-9XXXXXX269,3,0
CUST-58,Dawn Steele,1986-04-10,retired,183515,2021-10-02,2024-06-30,1,0,1,"USNS Cain
FPO AA 38306",East Danielleburgh,Colorado,IN,+91-9XXXXXX889,5,1
CUST-59,Theresa Allen,1983-10-02,salaried,134545,2023-04-20,2023-06-15,1,1,0,"619 Sierra Flat
West James, GA 07198",North Sabrinaview,Oklahoma,IN,+91-9XXXXXX708,5,0
CUST-60,Breanna Craig,1996-05-05,self_employed,25627,2024-04-03,2025-12-01,1,0,1,"78487 Dillon Neck Apt. 387
Rodriguezfurt, NE 44497",Marshallton,Tennessee,IN,+91-9XXXXXX687,5,0
CUST-61,Joseph Martin,1978-01-12,salaried,161550,2021-10-03,2026-03-25,1,0,0,"17966 Katherine Centers Suite 698
Blairside, FM 67255",North Williamshire,Ohio,AE,+91-9XXXXXX666,2,0
CUST-62,Rebecca Jackson,1972-09-09,unemployed,65758,2022-06-13,2025-10-02,0,1,0,"21751 Nguyen Point
New Elizabeth, ID 48515",Emilymouth,Tennessee,IN,+91-9XXXXXX764,1,0
CUST-63,Michael Rodriguez,1970-10-18,salaried,185444,2022-05-01,2025-11-27,1,1,0,"350 Hall Avenue
Chanfort, ME 04828",New Beverly,Missouri,IN,+91-9XXXXXX375,2,0
CUST-64,Paul Keller,1981-03-21,salaried,85081,2025-01-13,2024-04-10,0,1,0,"5967 Michael Divide Apt. 546
New Mirandaburgh, LA 38678",Lake Wesleychester,Massachusetts,GB,+91-9XXXXXX891,2,0
CUST-65,Shelby Martinez,1961-02-04,self_employed,129437,2024-07-07,2025-03-12,1,1,1,"565 Christine Springs Apt. 416
Hooperview, GU 27948",Cortezview,Arizona,AE,+91-9XXXXXX211,3,0
CUST-66,Aaron Harrison,2002-06-02,student,75758,2024-08-02,2025-03-14,1,1,0,"434 Whitney Gardens
Robertstown, AS 02083",West Debra,Minnesota,AE,+91-9XXXXXX702,2,0
CUST-67,Brian Krause,1988-01-18,salaried,197035,2023-11-06,2024-07-03,1,1,1,"Unit 9103 Box 6779
DPO AA 81092",Kellyview,Michigan,IN,+91-9XXXXXX673,4,0
CUST-68,Ethan Munoz,1968-12-19,salaried,57822,2024-12-05,2024-01-24,1,1,0,"40715 Edwards Mall Suite 800
Wareside, IA 25644",East Emmatown,Missouri,IN,+91-9XXXXXX786,3,0
CUST-69,Renee Moyer,1964-11-11,salaried,124519,2024-01-27,2024-04-07,2,0,1,"73891 Hailey Square
North Kristen, FM 86542",East Stephanieview,Texas,IN,+91-9XXXXXX741,5,0
CUST-70,Ashley Chandler,2002-12-25,salaried,127254,2021-08-19,2025-01-24,1,0,0,"7095 Gabriel Oval
South Stacymouth, AL 79765",West Cheryl,Mississippi,US,+91-9XXXXXX624,4,1
CUST-71,Kaitlyn Caldwell,1974-05-24,retired,78841,2022-09-07,2024-02-05,1,1,1,"7088 Regina Glens
West Brandon, FL 61124",Wilkersonview,West Virginia,IN,+91-9XXXXXX662,3,0
CUST-72,Michael Fowler,1990-02-26,student,156936,2023-08-22,2024-06-29,0,1,0,"84165 Jeffery Spring
Rebeccaport, KY 33370",North Heathershire,Iowa,IN,+91-9XXXXXX284,5,0
CUST-73,Clayton Smith,1977-04-28,business,122318,2024-07-23,2026-01-18,1,1,0,"5293 Shawn Summit Apt. 267
New Paul, RI 67053",Stacytown,Wisconsin,IN,+91-9XXXXXX813,5,0
CUST-74,Robert Jackson,1993-11-27,student,119451,2023-11-16,2023-10-12,1,1,0,"3192 Keith Mountain Suite 160
East Williamberg, GA 32565",Jeffreyhaven,Illinois,IN,+91-9XXXXXX399,2,0
CUST-75,Marvin Harris,1981-11-18,salaried,85521,2021-10-05,2024-08-25,1,0,1,"560 Richard Valleys
Robertview, TN 94141",Ashleychester,Louisiana,IN,+91-9XXXXXX659,3,0
CUST-76,Brett Mcclure,2004-03-13,student,160822,2021-11-08,2026-02-13,1,0,1,"39883 Ann Isle
Adambury, WY 55061",Turnerport,South Carolina,IN,+91-9XXXXXX960,1,0
CUST-77,Danielle Ford,1991-01-29,self_employed,12344,2022-12-04,2023-11-14,1,1,1,"39757 Derrick Street Suite 533
Williamport, PW 59587",New Dannybury,South Dakota,PK,+91-9XXXXXX371,2,0
CUST-78,Darin Barnett,2002-07-14,salaried,57224,2023-08-16,2024-04-08,1,1,1,"71524 Jose Lane
Jasonville, IA 37979",Troyberg,New York,IN,+91-9XXXXXX128,3,0
CUST-79,Nicholas Taylor,1993-04-18,salaried,112746,2025-01-14,2025-03-08,1,0,1,"493 Dustin Crossroad
Suttonhaven, AL 72216",Richardsonview,Alabama,NG,+91-9XXXXXX804,5,0
CUST-80,Brandy Merritt,1981-09-29,self_employed,161396,2024-08-26,2024-07-15,1,1,1,"699 Palmer Canyon Suite 982
Port Cameronborough, MT 47801",Port Harryfort,Connecticut,IN,+91-9XXXXXX299,3,0
CUST-81,Carlos Patterson,1968-06-20,unemployed,61776,2024-08-26,2024-11-08,1,1,1,"3563 Lopez Crescent
West Williamchester, MD 57433",Port Margaret,Nebraska,NG,+91-9XXXXXX264,5,0
CUST-82,Brian Anderson,2007-05-08,self_employed,101215,2022-01-14,2025-06-07,1,1,1,"63807 Carol Curve
Victoriaville, NJ 09288",Kellytown,New Hampshire,IN,+91-9XXXXXX674,5,0
CUST-83,Samuel Davidson,1962-09-28,salaried,36693,2021-05-25,2024-08-29,3,0,1,"5336 Brett Roads
Tammyhaven, RI 00610",Barnettton,Louisiana,AE,+91-9XXXXXX276,2,0
CUST-84,Thomas Mcdonald,1991-03-05,student,130116,2023-05-02,2024-05-23,1,0,1,"429 Hubbard Center
Mckinneychester, AZ 19723",Charlesbury,Delaware,IN,+91-9XXXXXX700,4,0
CUST-85,Dr. Roger Dalton,1989-11-02,salaried,120039,2023-11-30,2023-05-21,1,0,1,"USNV Lewis
FPO AA 37641",Jonesberg,Connecticut,IN,+91-9XXXXXX609,2,0
CUST-86,Laura Vazquez,1961-03-01,student,195830,2023-05-25,2024-09-14,1,1,0,"71280 Barrett Mews Suite 905
Collinsport, PA 89451",Sheilafort,Illinois,IN,+91-9XXXXXX772,3,0
CUST-87,Randy Woodard,1968-11-09,salaried,118084,2024-04-03,2025-07-08,1,1,0,"142 Patel Views Suite 863
Port Melissafurt, NE 07080",Port Rickyfort,Arkansas,IN,+91-9XXXXXX586,1,0
CUST-88,Cody Adams,1955-08-27,student,73239,2022-04-09,2024-08-09,1,0,0,"33194 Macias Ranch Suite 487
Johnsonville, IL 70735",Johnsonborough,New Jersey,AE,+91-9XXXXXX839,4,1
CUST-89,Desiree Castillo,1967-06-28,student,140039,2021-12-30,2024-03-25,2,1,0,"63193 Vincent Bridge Apt. 787
Payneborough, PA 65785",West Cassandraville,Mississippi,IN,+91-9XXXXXX243,1,0
CUST-90,Stacy Henderson,2005-05-26,self_employed,173200,2022-08-17,2025-03-22,1,1,1,"9529 Richard Ramp
Rebeccachester, FM 74497",Joland,Arkansas,IN,+91-9XXXXXX392,4,0
CUST-91,Christina Bird,1996-03-16,business,159055,2022-07-16,2025-04-16,1,0,0,"3414 Garcia Vista Suite 724
Arnoldport, OK 01501",Sandersfort,Washington,IN,+91-9XXXXXX468,1,0
CUST-92,Michelle Mahoney,1984-06-24,salaried,19837,2023-04-25,2024-03-05,1,0,1,"8811 Emily Forks
East Edwin, MN 74824",Michaelfurt,Idaho,IN,+91-9XXXXXX489,5,0
CUST-93,Beth Navarro,1985-01-08,self_employed,10740,2023-11-05,2024-07-14,1,1,1,"131 Lisa Pine Suite 840
Jeffreymouth, IN 33753",South Blake,North Carolina,AE,+91-9XXXXXX841,1,0
CUST-94,Thomas Ortiz,1979-05-24,salaried,76239,2022-01-21,2025-01-21,1,1,1,"01282 Andrea Spring Suite 011
New Juan, NC 22550",New Christinaborough,Iowa,IN,+91-9XXXXXX237,4,0
CUST-95,Austin Norris,1978-09-21,self_employed,54265,2024-04-28,2024-08-08,1,1,0,"51911 Lauren Creek
Nicoleborough, IA 77990",North Laurastad,Ohio,AE,+91-9XXXXXX207,5,0
CUST-96,Jennifer Nguyen,1976-08-20,retired,126448,2022-10-04,2023-11-22,2,1,1,"778 Sheila Views
New Steven, MH 31164",Riveraville,Arkansas,IN,+91-9XXXXXX487,4,0
CUST-97,Caitlin Francis,1971-03-31,business,49896,2023-01-21,2024-09-22,1,0,0,"7892 Christensen Lodge
Port Rogerbury, IA 40601",North John,Georgia,IN,+91-9XXXXXX174,2,0
CUST-98,James Hernandez,1965-10-19,business,96510,2022-10-27,2025-02-22,2,1,1,"Unit 9835 Box 2413
DPO AP 42812",Priceberg,Maine,IN,+91-9XXXXXX639,3,1
CUST-99,Mark Hall,2004-02-29,salaried,30758,2023-10-26,2023-12-30,1,0,0,"6657 Diana Fords
New Davidhaven, ID 81832",North Amberview,Oklahoma,IN,+91-9XXXXXX277,5,0
CUST-100,Samantha Jackson,1962-08-27,salaried,28609,2023-05-20,2025-05-08,1,0,1,"4975 Emily Radial
Kevinstad, VA 70311",East Heatherton,Florida,IN,+91-9XXXXXX948,1,0
CUST-101,Jack Graham,2003-09-18,salaried,14778,2021-09-24,2023-06-24,2,1,1,"72156 Scott Street Suite 367
Mcgeeville, WV 34939",Phillipsport,Nebraska,IN,+91-9XXXXXX274,4,0
CUST-102,Jeremiah Harris,1994-12-06,self_employed,24451,2023-01-19,2024-04-05,2,0,0,"788 Mcintosh Vista Apt. 222
Stevenville, LA 14710",Tommyview,Alabama,IN,+91-9XXXXXX163,4,1
CUST-103,Luis Stephenson,2007-09-07,salaried,167935,2022-07-07,2025-08-27,0,0,0,"542 Anne Bridge
Hoport, AR 06086",Shirleyton,Wyoming,SG,+91-9XXXXXX115,1,1
CUST-104,Brian Warren,1980-03-29,self_employed,65201,2022-10-26,2025-09-18,1,1,1,"404 Sarah Cape
Lake Laurahaven, AS 14362",Brownburgh,Missouri,AE,+91-9XXXXXX357,5,1
CUST-105,Kelsey Bradley,1967-01-10,salaried,31193,2025-02-18,2025-02-14,1,0,0,"4593 Rivera Causeway Suite 406
Donton, MN 33764",Cervantesmouth,New Mexico,IN,+91-9XXXXXX373,5,0
CUST-106,Mr. David Terry,1977-02-13,student,155109,2021-10-12,2025-03-01,1,0,0,"89303 Stanton Square
New Jessica, CT 54073",Smallshire,New Jersey,IN,+91-9XXXXXX208,4,0
CUST-107,Joshua Allen,2006-07-25,student,57416,2021-07-30,2024-09-09,1,0,1,"45770 Brandy Flat Apt. 293
Barbaraview, SC 40366",Mortonmouth,Iowa,PK,+91-9XXXXXX524,4,0
CUST-108,Brian Kelley,1985-09-19,student,192168,2025-03-19,2024-04-05,1,0,0,"0388 Jean Points
West Peggymouth, NH 28838",Frenchborough,Iowa,IN,+91-9XXXXXX300,3,0
CUST-109,Denise Miranda,1996-05-25,salaried,28811,2025-03-03,2025-08-13,1,0,0,"2431 Jessica Springs
Waltonfort, WA 05683",Nicoleborough,Washington,IN,+91-9XXXXXX273,1,0
CUST-110,Donna Cole,2002-06-03,salaried,150515,2021-04-05,2025-03-26,1,0,0,"95385 Mcdaniel Land Apt. 538
Karenport, VT 30874",Scottchester,Oklahoma,IN,+91-9XXXXXX196,4,0
CUST-111,Diana Foster,1959-02-24,self_employed,135815,2022-04-01,2024-03-16,1,0,1,"67358 Smith Mountain
Johnathanberg, UT 78116",Lindafurt,Florida,IN,+91-9XXXXXX599,2,0
CUST-112,Melissa Dickerson,1982-07-04,self_employed,134181,2023-03-18,2025-12-19,0,1,1,"38624 Robert Trail Apt. 849
Cynthiahaven, VI 76608",Drewside,Arkansas,IN,+91-9XXXXXX595,4,0
CUST-113,Sue Harrell,1970-06-16,self_employed,136829,2024-03-26,2025-02-23,1,0,0,"156 Watts Brooks Apt. 358
North Matthew, IL 40962",West Alanhaven,Arkansas,IN,+91-9XXXXXX327,1,0
CUST-114,Allison Morgan,1965-07-27,student,182392,2022-07-16,2024-12-21,1,0,1,"80655 Sara Crescent Suite 290
Fishermouth, IA 80576",Lake Karenville,Illinois,US,+91-9XXXXXX509,5,0
CUST-115,Susan Lamb,1990-01-18,business,27833,2025-02-14,2023-05-21,1,1,1,"19357 Hess Land
South Jimmy, MT 75109",Port Arthur,Vermont,IN,+91-9XXXXXX887,3,0
CUST-116,Gina Ramirez,1976-02-25,salaried,37715,2022-12-27,2024-03-17,1,1,0,"53108 Steven Harbors Suite 827
Osborneshire, ND 34203",Parkerside,Kansas,IN,+91-9XXXXXX802,4,0
CUST-117,Ronnie Pace,1972-09-14,student,172079,2022-09-19,2025-07-08,1,1,1,"79813 Miller Oval Apt. 202
North Carolynland, NC 84478",Harrisburgh,Hawaii,IN,+91-9XXXXXX209,1,0
CUST-118,Emily Dominguez,1972-08-31,retired,57781,2024-10-09,2024-10-03,1,0,1,"USNS Lee
FPO AE 70393",Port Christopher,Maine,IN,+91-9XXXXXX623,2,0
CUST-119,Heidi Duncan,2001-08-25,salaried,41820,2021-09-16,2025-06-16,1,0,0,"73666 Andrew Fields
South Brandon, WV 07082",East Robert,Oregon,IN,+91-9XXXXXX735,4,0
CUST-120,Ronald Gates,1982-04-17,salaried,171624,2024-07-24,2024-06-19,1,0,1,"2623 Savannah Villages
South Amymouth, MO 42821",Kimmouth,Indiana,IN,+91-9XXXXXX824,2,0
CUST-121,Anthony Patterson,1987-05-13,unemployed,177047,2021-11-15,2025-04-29,0,1,1,"0191 Obrien Street
West Coreyshire, NC 83509",Andreaview,Maine,IN,+91-9XXXXXX402,4,1
CUST-122,Marcus Fitzgerald,1964-09-15,salaried,178178,2022-10-16,2024-05-31,2,0,0,"0914 Jarvis Estate Apt. 622
East Kathy, FL 25047",South Samuelland,Utah,AE,+91-9XXXXXX919,4,0
CUST-123,Kenneth Kaufman,1969-01-20,student,85062,2024-04-15,2023-08-03,1,1,0,"522 Jared Highway Apt. 000
South Jacob, ND 95610",East Curtis,Washington,NG,+91-9XXXXXX554,5,0
CUST-124,John Cuevas,1989-06-16,self_employed,92064,2023-01-04,2024-05-11,1,1,1,"45758 Thomas Ports Apt. 518
Butlertown, NH 49626",North Ryan,Tennessee,IN,+91-9XXXXXX449,2,0
CUST-125,Autumn Martinez,1994-04-13,unemployed,189384,2023-07-01,2023-05-12,3,1,0,"620 Hooper Branch Apt. 413
Tiffanyfort, PR 17550",Brianton,Delaware,AE,+91-9XXXXXX429,1,0
CUST-126,Jennifer Edwards,2005-08-06,salaried,43030,2023-09-21,2024-03-16,1,0,0,"4816 Karen Shores Apt. 288
South Nathaniel, DE 02250",Robertfort,New Hampshire,IN,+91-9XXXXXX509,4,1
CUST-127,Thomas Mcclain,1972-07-28,business,197121,2024-05-23,2023-03-30,1,1,1,"436 Ramos Crossroad
Justinmouth, ID 68564",Briantown,Tennessee,IN,+91-9XXXXXX524,4,0
CUST-128,Gary Mcclure,1992-11-22,retired,95194,2023-11-07,2023-12-10,2,0,0,"09105 Decker Hollow
North Jeanettechester, VT 59699",Lake Jasonmouth,Wisconsin,AE,+91-9XXXXXX990,1,0
CUST-129,Nicole Salas,2006-05-24,student,80889,2022-06-28,2024-09-21,3,0,1,"0125 Brittney Underpass
Zimmermanton, GA 31495",Leemouth,Delaware,IN,+91-9XXXXXX333,4,0
CUST-130,Christina Scott,1996-02-21,retired,151278,2022-02-01,2025-05-22,0,1,0,"98750 Henderson Meadow Suite 402
New Leahfurt, DE 44507",North Anthony,Michigan,IN,+91-9XXXXXX508,1,0
